,Optimal_threshold,Accuracy,Sensitivity,Specificity,AUC_ROC,R2 Score,Model_name
0,0.7523553021507382,0.9375,0.875,1.0,0.96875,0.9375,Logit
1,0.47619047619047616,0.875,0.75,1.0,0.9453125,0.8125,KNN
2,0.5751231575821978,0.9375,0.875,1.0,0.984375,0.9375,SVM
3,0.9967261487323305,0.875,0.75,1.0,0.890625,0.6875,AdaBoost
4,0.6966589093208313,0.875,0.75,1.0,0.875,0.6875,XGBoost-tree
5,0.3498691916465759,0.9375,0.875,1.0,0.96875,0.875,XGBoost-linear
6,0.509090909090909,0.8125,1.0,0.625,0.859375,0.8125,RF
