,Optimal_threshold,Accuracy,Sensitivity,Specificity,AUC_ROC,R2 Score,Model_name
0,0.5238267214239438,0.9375,1.0,0.875,0.96875,0.9375,Logit
1,0.42857142857142855,0.9375,0.875,1.0,0.96875,0.875,KNN
2,0.5142766012160854,0.9375,0.875,1.0,0.984375,0.9375,SVM
3,0.9999937274810144,0.75,0.75,0.75,0.8046875,0.75,AdaBoost
4,0.6126767992973328,0.9375,0.875,1.0,0.984375,0.875,XGBoost-tree
5,0.5679017305374146,0.9375,1.0,0.875,0.96875,0.9375,XGBoost-linear
6,0.6227272727272727,0.875,0.75,1.0,0.953125,0.875,RF
