,Optimal_threshold,Accuracy,Sensitivity,Specificity,AUC_ROC,R2 Score,Model_name
0,0.9065444855128966,0.8125,0.625,1.0,0.90625,0.75,Logit
1,0.42857142857142855,0.9375,0.875,1.0,0.984375,0.75,KNN
2,0.5147179723650693,0.9375,0.875,1.0,0.96875,0.9375,SVM
3,0.49635104673579966,0.9375,1.0,0.875,0.9375,0.875,AdaBoost
4,0.6965441703796387,0.875,0.75,1.0,0.953125,0.8125,XGBoost-tree
5,0.10556069761514664,0.875,1.0,0.75,0.921875,0.75,XGBoost-linear
6,0.6136363636363636,0.9375,0.875,1.0,0.9765625,0.8125,RF
