,Optimal_threshold,Accuracy,Sensitivity,Specificity,AUC_ROC,R2 Score,Model_name
0,0.7576612588118079,0.9375,0.875,1.0,0.96875,0.9375,Logit
1,0.5238095238095238,0.875,0.75,1.0,0.9453125,0.875,KNN
2,0.5344395982249214,0.9375,0.875,1.0,0.984375,0.9375,SVM
3,0.9710249822456707,0.8125,0.875,0.75,0.796875,0.75,AdaBoost
4,0.5325896739959717,0.875,0.875,0.875,0.921875,0.8125,XGBoost-tree
5,0.32701700925827026,0.9375,1.0,0.875,0.96875,0.875,XGBoost-linear
6,0.5181818181818182,0.875,1.0,0.75,0.90625,0.875,RF
