,Optimal_threshold,Accuracy,Sensitivity,Specificity,AUC_ROC,R2 Score,Round Number
0,0.47262347,0.666666667,0.6,0.75,0.575,0.611111111,1
1,1.555103015,0.5,0,1,0,0.5,1
2,0.539414813,0.823529412,0.75,0.888888889,0.75,0.823529412,1
3,0.485782652,0.888888889,0.909090909,0.857142857,0.844155844,0.5,2
4,0.577633409,0.388888889,1,0.083333333,0.111111111,0.333333333,2
5,0.572897586,0.764705882,0.6,1,0.742857143,0.764705882,2
6,1.484895672,0.277777778,0,1,0.015384615,0.277777778,3
7,0.580409453,0.777777778,0.833333333,0.75,0.736111111,0.333333333,3
8,0.52630463,0.764705882,0.625,0.888888889,0.694444444,0.764705882,3
9,0.409328115,0.833333333,0.818181818,0.857142857,0.779220779,0.611111111,4
10,0.5,0.777777778,0.8,0.75,0.7875,0.611111111,4
11,1.695163189,0.647058824,0,1,0.136363636,0.352941176,4
12,0.510791866,0.944444444,0.888888889,1,0.950617284,0.888888889,5
13,0.787481035,0.777777778,0.571428571,0.909090909,0.727272727,0.388888889,5
14,0.3927986,0.882352941,0.909090909,0.833333333,0.787878788,0.470588235,5
15,0.525278791,0.722222222,0.8,0.692307692,0.707692308,0.277777778,6
16,0.45933571,0.888888889,0.818181818,1,0.896103896,0.444444444,6
17,0.5,0.823529412,0.818181818,0.833333333,0.818181818,0.470588235,6
18,0.476446037,0.833333333,0.8,0.875,0.8,0.555555556,7
19,1.575979389,0.555555556,0,1,0.1,0.5,7
20,0.55820945,0.764705882,0.666666667,0.875,0.722222222,0.705882353,7
21,0.444072884,0.444444444,1,0.090909091,0.25974026,0.444444444,8
22,0.431976403,0.833333333,0.875,0.8,0.825,0.666666667,8
23,0.450047373,0.823529412,0.75,1,0.866666667,0.352941176,8
24,0.573523785,0.944444444,1,0.909090909,0.909090909,0.388888889,9
25,0.564204661,0.722222222,0.583333333,1,0.805555556,0.388888889,9
26,0.5,0.764705882,0.75,0.777777778,0.722222222,0.705882353,9
27,0.312083846,0.833333333,0.916666667,0.666666667,0.722222222,0.388888889,10
28,0.545603834,0.944444444,0.875,1,0.8875,0.444444444,10
29,0.594919346,0.647058824,0.142857143,1,0.228571429,0.411764706,10
