,Optimal_threshold,Accuracy,Sensitivity,Specificity,AUC_ROC,R2 Score,Model_name
0,0.9358213123618178,0.8125,0.625,1.0,0.796875,0.6875,Logit
1,0.47619047619047616,0.625,0.875,0.375,0.6484375,0.5625,KNN
2,0.5513598063390104,0.8125,0.625,1.0,0.796875,0.75,SVM
3,0.35406383574858463,0.8125,0.75,0.875,0.8125,0.75,AdaBoost
4,0.8248996138572693,0.75,0.5,1.0,0.703125,0.6875,XGBoost-tree
5,0.998761773109436,0.75,0.5,1.0,0.6875,0.625,XGBoost-linear
6,0.6227272727272727,0.75,0.5,1.0,0.71875,0.625,RF
