,Optimal_threshold,Accuracy,Sensitivity,Specificity,AUC_ROC,R2 Score,Round Number
0,0.327623616,0.722222222,0.777777778,0.666666667,0.740740741,0.666666667,1
1,0.582135202,0.944444444,1,0.857142857,0.87012987,0.944444444,1
2,0.558202878,0.941176471,0.857142857,1,0.9,0.941176471,1
3,0.539022786,0.944444444,1,0.888888889,0.888888889,0.944444444,2
4,0.453830709,0.888888889,0.875,0.9,0.85,0.833333333,2
5,0.587900575,0.764705882,0.7,0.857142857,0.728571429,0.764705882,2
6,0.351969529,0.944444444,0.9,1,0.9375,0.833333333,3
7,0.710941546,0.722222222,0.777777778,0.666666667,0.641975309,0.722222222,3
8,0.558688591,0.941176471,0.875,1,0.944444444,0.882352941,3
9,0.552420613,0.888888889,1,0.777777778,0.913580247,0.888888889,4
10,0.47834939,0.833333333,0.777777778,0.888888889,0.790123457,0.777777778,4
11,0.474904205,0.823529412,0.777777778,0.875,0.736111111,0.764705882,4
12,0.444554992,0.833333333,0.8,0.875,0.75,0.777777778,5
13,0.571290532,0.944444444,1,0.909090909,0.961038961,0.888888889,5
14,0.616866328,0.882352941,0.9,0.857142857,0.8,0.882352941,5
15,0.523297796,0.888888889,1,0.8,0.8875,0.833333333,6
16,0.545056908,0.833333333,0.9,0.75,0.8125,0.777777778,6
17,0.482847838,0.882352941,0.777777778,1,0.875,0.764705882,6
18,0.459873263,0.833333333,0.888888889,0.777777778,0.827160494,0.777777778,7
19,0.731609157,0.888888889,0.888888889,0.888888889,0.827160494,0.888888889,7
20,0.47545792,0.941176471,0.888888889,1,0.916666667,0.705882353,7
21,0.589948896,0.777777778,0.7,0.875,0.7,0.777777778,8
22,0.638841036,0.944444444,1,0.9,0.9,0.888888889,8
23,0.447100388,0.941176471,1,0.875,0.930555556,0.764705882,8
24,0.448096258,0.888888889,0.857142857,0.909090909,0.818181818,0.833333333,9
25,0.559965003,0.833333333,0.8,0.875,0.8625,0.777777778,9
26,0.453266372,0.882352941,0.9,0.857142857,0.828571429,0.823529412,9
27,0.643349665,0.833333333,0.833333333,0.833333333,0.763888889,0.777777778,10
28,0.716575037,0.833333333,0.777777778,0.888888889,0.802469136,0.833333333,10
29,0.393372403,0.941176471,0.916666667,1,0.933333333,0.764705882,10
