,Optimal_threshold,Accuracy,Sensitivity,Specificity,AUC_ROC,Model_name
67,0.5,0.9375,0.875,1.0,0.96875,SVM_C-1000.0_Gamma-1e-07
68,0.5216365382940645,0.9375,0.875,1.0,0.96875,SVM_C-1000.0_Gamma-1e-06
69,0.5753170284382118,0.875,0.75,1.0,0.9375,SVM_C-1000.0_Gamma-1e-05
70,1.5100097721178556,0.5,0.0,1.0,0.0625,SVM_C-1000.0_Gamma-0.0001
71,1.510579711717128,0.5,0.0,1.0,0.5,SVM_C-1000.0_Gamma-0.001
72,1.521724004812416,0.5,0.0,1.0,0.5,SVM_C-1000.0_Gamma-0.01
73,1.521923063466637,0.5,0.0,1.0,0.5,SVM_C-1000.0_Gamma-0.1
74,1.5,0.5,0.0,1.0,0.5,SVM_C-1000.0_Gamma-1.0
75,1.514534934860356,0.5,0.0,1.0,0.5,SVM_C-1000.0_Gamma-10.0
76,1.5211901195299058,0.5,0.0,1.0,0.5,SVM_C-1000.0_Gamma-100.0
77,1.5,0.5,0.0,1.0,0.5,SVM_C-1000.0_Gamma-1000.0
78,0.43776581217931654,1.0,1.0,1.0,1.0,SVM_C-10000.0_Gamma-1e-09
79,0.5,0.9375,0.875,1.0,0.96875,SVM_C-10000.0_Gamma-1e-08
80,0.5072209742166113,0.9375,0.875,1.0,0.96875,SVM_C-10000.0_Gamma-1e-07
81,0.5334743807718639,0.9375,0.875,1.0,0.96875,SVM_C-10000.0_Gamma-1e-06
82,0.5862604243279347,0.875,0.75,1.0,0.9375,SVM_C-10000.0_Gamma-1e-05
83,1.5443586153554212,0.5,0.0,1.0,0.0625,SVM_C-10000.0_Gamma-0.0001
84,1.5203136141140452,0.5,0.0,1.0,0.5,SVM_C-10000.0_Gamma-0.001
85,1.5,0.5,0.0,1.0,0.5,SVM_C-10000.0_Gamma-0.01
86,1.5,0.5,0.0,1.0,0.5,SVM_C-10000.0_Gamma-0.1
87,1.5199860078117542,0.5,0.0,1.0,0.5,SVM_C-10000.0_Gamma-1.0
88,1.5159765513054213,0.5,0.0,1.0,0.5,SVM_C-10000.0_Gamma-10.0
89,1.5225415649706466,0.5,0.0,1.0,0.5,SVM_C-10000.0_Gamma-100.0
90,1.5094709886148028,0.5,0.0,1.0,0.5,SVM_C-10000.0_Gamma-1000.0
91,0.5065338510721785,0.9375,0.875,1.0,0.96875,SVM_C-100000.0_Gamma-1e-09
92,0.5149095697662025,0.9375,0.875,1.0,0.96875,SVM_C-100000.0_Gamma-1e-08
93,0.5202078848785613,0.9375,0.875,1.0,0.96875,SVM_C-100000.0_Gamma-1e-07
94,0.5257525182676038,0.9375,0.875,1.0,0.96875,SVM_C-100000.0_Gamma-1e-06
95,0.5803066880969571,0.875,0.75,1.0,0.9375,SVM_C-100000.0_Gamma-1e-05
96,1.5401997328028534,0.5,0.0,1.0,0.0859375,SVM_C-100000.0_Gamma-0.0001
97,1.5158633128374426,0.5,0.0,1.0,0.5,SVM_C-100000.0_Gamma-0.001
98,1.5123228832551157,0.5,0.0,1.0,0.5,SVM_C-100000.0_Gamma-0.01
99,1.5102845588287948,0.5,0.0,1.0,0.5,SVM_C-100000.0_Gamma-0.1
100,1.5144303016555498,0.5,0.0,1.0,0.5,SVM_C-100000.0_Gamma-1.0
101,1.5606555675736389,0.5,0.0,1.0,0.5,SVM_C-100000.0_Gamma-10.0
102,1.5128387910159216,0.5,0.0,1.0,0.5,SVM_C-100000.0_Gamma-100.0
103,1.5145744824268101,0.5,0.0,1.0,0.5,SVM_C-100000.0_Gamma-1000.0
104,0.5096665862124644,0.9375,0.875,1.0,0.96875,SVM_C-1000000.0_Gamma-1e-09
105,0.5,0.9375,0.875,1.0,0.96875,SVM_C-1000000.0_Gamma-1e-08
106,0.520603340587878,0.9375,0.875,1.0,0.96875,SVM_C-1000000.0_Gamma-1e-07
107,0.5217416068342833,0.9375,0.875,1.0,0.96875,SVM_C-1000000.0_Gamma-1e-06
108,0.5956323660923942,0.875,0.75,1.0,0.9375,SVM_C-1000000.0_Gamma-1e-05
109,1.5478758698197916,0.5,0.0,1.0,0.0625,SVM_C-1000000.0_Gamma-0.0001
110,1.5102845588287948,0.5,0.0,1.0,0.5,SVM_C-1000000.0_Gamma-0.001
111,1.5353851469160724,0.5,0.0,1.0,0.5,SVM_C-1000000.0_Gamma-0.01
112,1.5199860078117542,0.5,0.0,1.0,0.5,SVM_C-1000000.0_Gamma-0.1
113,1.5206927572640674,0.5,0.0,1.0,0.5,SVM_C-1000000.0_Gamma-1.0
114,1.5,0.5,0.0,1.0,0.5,SVM_C-1000000.0_Gamma-10.0
115,1.5144303016555498,0.5,0.0,1.0,0.5,SVM_C-1000000.0_Gamma-100.0
116,1.5212256938846238,0.5,0.0,1.0,0.5,SVM_C-1000000.0_Gamma-1000.0
117,0.5122238973038903,0.9375,0.875,1.0,0.96875,SVM_C-10000000.0_Gamma-1e-09
118,0.4924575619881729,0.9375,0.875,1.0,0.96875,SVM_C-10000000.0_Gamma-1e-08
119,0.4918504709488719,0.9375,0.875,1.0,0.96875,SVM_C-10000000.0_Gamma-1e-07
120,0.5321427159159495,0.9375,0.875,1.0,0.96875,SVM_C-10000000.0_Gamma-1e-06
121,0.5941966490709991,0.875,0.75,1.0,0.9375,SVM_C-10000000.0_Gamma-1e-05
122,1.5312683275457601,0.5,0.0,1.0,0.0625,SVM_C-10000000.0_Gamma-0.0001
123,1.5126735977580148,0.5,0.0,1.0,0.5,SVM_C-10000000.0_Gamma-0.001
124,1.5207559648772693,0.5,0.0,1.0,0.5,SVM_C-10000000.0_Gamma-0.01
125,1.5162989122595376,0.5,0.0,1.0,0.5,SVM_C-10000000.0_Gamma-0.1
126,1.5206927572640674,0.5,0.0,1.0,0.5,SVM_C-10000000.0_Gamma-1.0
127,1.510579711717128,0.5,0.0,1.0,0.5,SVM_C-10000000.0_Gamma-10.0
128,1.533036142969963,0.5,0.0,1.0,0.5,SVM_C-10000000.0_Gamma-100.0
129,1.5225415649706466,0.5,0.0,1.0,0.5,SVM_C-10000000.0_Gamma-1000.0
130,0.4900318880912264,0.9375,0.875,1.0,0.96875,SVM_C-100000000.0_Gamma-1e-09
131,0.5,0.9375,0.875,1.0,0.96875,SVM_C-100000000.0_Gamma-1e-08
132,0.523371182530827,0.9375,0.875,1.0,0.96875,SVM_C-100000000.0_Gamma-1e-07
133,0.5302460851801291,0.9375,0.875,1.0,0.96875,SVM_C-100000000.0_Gamma-1e-06
134,0.5533069745102316,0.875,0.75,1.0,0.9375,SVM_C-100000000.0_Gamma-1e-05
135,1.5411274202494867,0.5,0.0,1.0,0.15625,SVM_C-100000000.0_Gamma-0.0001
136,1.510579711717128,0.5,0.0,1.0,0.5,SVM_C-100000000.0_Gamma-0.001
137,1.5143485640249699,0.5,0.0,1.0,0.5,SVM_C-100000000.0_Gamma-0.01
138,1.5145744824268101,0.5,0.0,1.0,0.5,SVM_C-100000000.0_Gamma-0.1
139,1.5,0.5,0.0,1.0,0.5,SVM_C-100000000.0_Gamma-1.0
140,1.514534934860356,0.5,0.0,1.0,0.5,SVM_C-100000000.0_Gamma-10.0
141,1.5291720185794881,0.5,0.0,1.0,0.5,SVM_C-100000000.0_Gamma-100.0
142,1.510579711717128,0.5,0.0,1.0,0.5,SVM_C-100000000.0_Gamma-1000.0
143,0.5080839650879974,0.9375,0.875,1.0,0.96875,SVM_C-1000000000.0_Gamma-1e-09
144,0.5,0.9375,0.875,1.0,0.96875,SVM_C-1000000000.0_Gamma-1e-08
145,0.5,0.9375,0.875,1.0,0.96875,SVM_C-1000000000.0_Gamma-1e-07
146,0.5267291655708928,0.9375,0.875,1.0,0.96875,SVM_C-1000000000.0_Gamma-1e-06
147,0.5826250040909036,0.875,0.75,1.0,0.9375,SVM_C-1000000000.0_Gamma-1e-05
148,1.535925149733501,0.5,0.0,1.0,0.0625,SVM_C-1000000000.0_Gamma-0.0001
149,1.5143485640249699,0.5,0.0,1.0,0.5,SVM_C-1000000000.0_Gamma-0.001
