,Optimal_threshold,Accuracy,Sensitivity,Specificity,AUC_ROC,R2 Score,Model_name
0,0.6778857993092898,0.875,0.75,1.0,0.921875,0.875,Logit
1,0.47619047619047616,0.9375,1.0,0.875,0.9765625,0.8125,KNN
2,0.5199430770553806,0.9375,0.875,1.0,0.96875,0.875,SVM
3,0.9670146532200651,0.75,0.75,0.75,0.7578125,0.75,AdaBoost
4,0.6890926957130432,0.8125,0.625,1.0,0.796875,0.6875,XGBoost-tree
5,0.995177149772644,0.8125,0.625,1.0,0.90625,0.75,XGBoost-linear
6,0.6,0.875,0.75,1.0,0.921875,0.75,RF
