,Optimal_threshold,Accuracy,Sensitivity,Specificity,AUC_ROC,Model_name
84,0.5952941176470589,0.875,0.75,1.0,0.921875,RF_treeNum-850
85,0.5965116279069768,0.875,0.75,1.0,0.921875,RF_treeNum-860
86,0.5988505747126437,0.875,0.75,1.0,0.921875,RF_treeNum-870
87,0.5988636363636364,0.875,0.75,1.0,0.921875,RF_treeNum-880
88,0.6,0.875,0.75,1.0,0.921875,RF_treeNum-890
89,0.6033333333333334,0.875,0.75,1.0,0.921875,RF_treeNum-900
90,0.6010989010989011,0.875,0.75,1.0,0.921875,RF_treeNum-910
91,0.6010869565217392,0.875,0.75,1.0,0.921875,RF_treeNum-920
92,0.6,0.875,0.75,1.0,0.921875,RF_treeNum-930
93,0.6,0.875,0.75,1.0,0.921875,RF_treeNum-940
94,0.5989473684210527,0.875,0.75,1.0,0.921875,RF_treeNum-950
95,0.6,0.875,0.75,1.0,0.921875,RF_treeNum-960
96,0.5989690721649484,0.875,0.75,1.0,0.921875,RF_treeNum-970
97,0.5989795918367347,0.875,0.75,1.0,0.921875,RF_treeNum-980
98,0.597979797979798,0.875,0.75,1.0,0.921875,RF_treeNum-990
99,0.596,0.875,0.75,1.0,0.921875,RF_treeNum-1000
